"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7819","test checkout flow @smoke","chromium","2026-06-27","passed","2026-06-27","","CheckoutPagefix.spec.ts","",""
"","1591","POST - create a user @smoke","chromium","2026-06-27","passed","2026-06-27","","api/user.api.indv.spec.ts","",""
"","1105","PUT - update new user","chromium","2026-06-27","passed","2026-06-27","","api/userapisep.spec.ts","",""
"","3227","home page title test @smoke","chromium","2026-06-27","passed","2026-06-27","","Homepagefix.spec.ts","",""
"","1010","DELETE - delete new user","chromium","2026-06-27","passed","2026-06-27","","api/userapisep.spec.ts","",""
"","3082","comp logo exists on product page","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","3520","verify search results count - imac - iMac","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","3692","verify search results count - macbook - MacBook Air","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2830","invalid login test with - - pw1234","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","732","GET -- get location data","chromium","2026-06-27","passed","2026-06-27","","api/amedues.outh2.spec.ts","",""
"","2819","invalid login test with - pwtestbatch@open.com -","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","2827","invalid login test with excel data -","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","2057","PUT - update a user @smoke","chromium","2026-06-27","passed","2026-06-27","","api/user.api.indv.spec.ts","",""
"","3093","comp logo exists on product page @manju","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","3189","user is able to login to app test @manju","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","3154","logout link exist test @smoke","chromium","2026-06-27","passed","2026-06-27","","Homepagefix.spec.ts","",""
"","2639","Register page list options test","chromium","2026-06-27","passed","2026-06-27","","RegisterPagefix.spec.ts","",""
"","1201","DELETE - delete a user","chromium","2026-06-27","passed","2026-06-27","","api/user.api.indv.spec.ts","",""
"","4488","verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","4549","verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2830","invalid login test with excel data - abccc@gmail.com","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","2272","login page title test @manju","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","3185","footers exist on product page @manju","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","3064","footers exist on product page","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","4831","verify product images count @manju","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","3204","home page headers exist test @smoke","chromium","2026-06-27","passed","2026-06-27","","Homepagefix.spec.ts","",""
"","2865","invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","2634","Register page title test","chromium","2026-06-27","passed","2026-06-27","","RegisterPagefix.spec.ts","",""
"","4602","verify user is able to land on the product page - imac - iMac","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2511","forgot pwd link exist test @manju","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","388","PUT API -- Update a user @sanity","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","3832","login to app using wrong credentials with Data driven test","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","5017","verify product Information/Data @manju","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","304","DELETE API -- Delete a user @sanity","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","382","GET API -- get all users @sanity","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","313","POST API -- create a user @sanity","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","3660","verify search results count - macbook - MacBook Pro","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","694","Verify new user using Get api","chromium","2026-06-27","passed","2026-06-27","","api/userapisep.spec.ts","",""
"","2868","invalid login test with - invalid@open.com - wrong123","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","9826","add product to cart @manju","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
